"code","title","kladr_code","addr","coords_lat","coords_lng","city"
"1125899906842671","Рязань","6200000100000","г.Рязань, Московское шоссе, д. 147","54.663010","39.603210","Рязань"
"1125900206756112","Салават","","","53.366660","55.933330","Салават"
"1125900191663353","Салехард","8900000100000","г.Салехард, мкр.Ангальский мыс, Промзона","66.571156","66.553653","Салехард"
"1125899906842641","Самара-1","6300000100000","г. Самара, Заводское шоссе, д. 15","53.183160","50.217790","Самара"
"1125899906842631","Санкт-Петербург-1-Кременчугская","7800000000000","г. Санкт-Петербург, ул. Кременчугская, д. 25, корп. 4, литера «П»","59.917300","30.370100","Санкт-Петербург"
"1125899906842716","Саранск","1300000100000","г.Саранск, ул. Пролетарская, д. 132","54.200890","45.178570","Саранск"
"1125899906842699","Саратов","6400000100000","г.Саратов, ул. Танкистов, д. 82","51.577260","46.019160","Саратов"
"2252083355360582","Сатка","","г.Сатка, ул. 18 годовщина Октября, д.43","55.043705","58.978401","Сатка"
"2252083293455935","Севастополь","","г. Севастополь, ул. Курганная, д. 35А","44.573830","33.510580","Севастополь"
"1125900178778616","Северодвинск","2900000400000","Россия, 153000 Ивановская Область, г. Иваново, пл. Генкиной д.1","64.536827","39.750908","Северодвинск"
"2252083291723706","Симферополь","","г.Симферополь, ул. Героев Сталинграда, д. 10","44.938590","34.058600","Симферополь"
"1125900121369130","Сковородино","","676011, г. Сковородино, Первомайская 1а","53.993824","123.870941","Сковородино"
"1125899906842640","Смоленск","6700000300000","г.Смоленск, ул. Бабушкина, д. 1","54.781050","32.084990","Смоленск"
"2252083356628772","Солнечногорск","","141506 г. Солнечногорск, ул. Лесная д.13","56.185204","36.977615","Солнечногорск"
"1125899906842694","Сочи","2300000700000","г.Сочи, ул. Голенева, д. 36","43.606730","39.745570","Сочи"
"1125899906842674","Ставрополь","2600000100000","г. Ставрополь, ул. Заводская, 11","45.052970","42.006460","Ставрополь"
"1125900209898687","Старый Оскол","","г. Старый Оскол, микрорайон Макаренко, 29 второе карэ","51.317167","37.884336","Старый Оскол"
"1125899906842695","Стерлитамак","0204200100000","г.Стерлитамак, ул. Элеваторная, д. 25","53.644370","55.951570","Стерлитамак"
"1125899906842656","Сургут","8600001000000","г.Сургут, ул. Линейная, д.28","61.283078","73.289373","Сургут"
"1125899906842733","Сыктывкар","1100000100000","г.Сыктывкар, ул. Станционная, д. 130","61.643990","50.813420","Сыктывкар"
"1125899906842681","Таганрог","6100001100000","347900, г. Таганрог, пл. Марцевский треугольник, д. 2г","47.253820","38.893320","Таганрог"
"1125899906842713","Тамбов","6800000400000","Бригадный проезд, 3, Тамбов, Тамбовская область, Россия, 392036","52.704883","41.439883","Тамбов"
"1125899906842684","Тверь","6900000100000","г.Тверь, Промышленный пр-д, д. 11","56.827010","35.933730","Тверь"
"1125899906842685","Тольятти","6300000700000","г.Тольятти, ул. Коммунальная, д. 31Б, 1-й этаж","53.558960","49.298350","Тольятти"
"1125899906842645","Томск","7000000100000","г.Томск, пер.Офицерский, д. 1","56.509330","85.002280","Томск"
"1125899906842719","Тула","7100000100000","г. Тула, Щегловская засека, д. 31А, кор. 5","54.186440","37.550680","Тула"
"1125899906842659","Тюмень","7200000100000","г.Тюмень, ул. Комбинатская, д. 60, стр. 4","57.171450","65.482910","Тюмень"
"1125899906842660","Улан-Удэ","0300000100000","г.Улан-Удэ, ул. Дальненагорная, д. 62Б","51.824930","107.613950","Улан-Удэ"
"1125899906842722","Ульяновск","7300000100000","г.Ульяновск, ул. Московское шоссе, д. 9а, корп.2","54.301490","48.294720","Ульяновск"
"2252083293455972","Усинск","","","66.000000","57.533333","Усинск"
"1125900029544130","Уссурийск","2500001100000","г.Уссурийск, ул. Тургенева, д. 145, оф.2","43.821100","131.963030","Уссурийск"
"1125899906842668","Усть-Илимск","3800001200000","г.Усть-Илимск, ул. Энгельса, д. 10","57.928670","102.724870","Усть-Илимск"
"1125899906842682","Уфа","0200100100000","Сельская Богородская улица, 57, Уфа, Республика Башкортостан, Россия, 450027","54.790118","56.090631","Уфа"
"1125899906842634","Хабаровск","2700000100000","г. Хабаровск, пер.Нефтяной, д. 1","48.500889","135.060127","Хабаровск"
"1125899906842702","Ханты-Мансийск","8600000100000","Ханты-Мансийск","60.969254","69.060356","Ханты-Мансийск"
"2252083355187095","Хасавюрт","","г. Хасавюрт, Аксаевское шоссе, д. 101","43.250000","46.583332","Хасавюрт"
"1125899906842718","Чайковский","5900001200000","г.Чайковский, ул. Промышленная, д. 5/1, стр.9","56.770470","54.134030","Чайковский"
"1125899906842679","Чебоксары","2100000100000","г.Чебоксары, ул. Б. Хмельницкого, д. 3","56.132760","47.236750","Чебоксары"
"1125899906842648","Челябинск","7400000100000","г.Челябинск, ул. Кулибина, д. 5","55.172730","61.475020","Челябинск"
"1125899906842732","Череповец","3500000200000","г.Вологда, ул. Чехова, д. 44, «Грузовой двор»","59.207181","39.892421","Череповец"
"2289187505459259","Черкесск","","площадь Гутякулова, Черкесск, Карачаево-Черкесская Республика, Россия, 369009","44.249448","42.042278","Черкесск"
"1125899906842635","Чита","7500000100000","Логовая улица, 55, Чита, Забайкальский край, Россия, 672020","52.008275","113.483028","Чита"
"1125900209898242","Шарья","","Костромская обл., г. Шарья, ул.Промышленная, д. 6/2","58.365253","45.520240","Шарья"
"1125900191635104","Шахты","6100001200000","346504, Ростовская область, г. Шахты, пер. Тюменский, д. 112","47.691570","40.195620","Шахты"
"1125899906842647","Южно-сахалинск","6500000100000","г.Южно-Сахалинск, ул. Украинская, д. 72а","46.984120","142.724230","Южно-сахалинск"
"1125899906842689","Якутск","1400000100000","г.Якутск, ул. Автодорожная, д. 4 корпус 9 (территория магазина "Мебельный дворик")","62.061226","129.473337","Якутск"
"1125899906842664","Ярославль","7600000100000","г. Ярославль, Тутаевское шоссе д. 6","57.673384","39.838862","Ярославль"
