"ID","NAME","COUNTRY","TZONEID","REGION","TZONE","SR","OC","TP","SP"
"520300000600","Березовка","RU","0000005210","52","N","N","","дер.",""
"591200000800","Березовка","RU","0000005913","59","N","N","","дер.",""
"240200000600","Березовка","RU","0000002401","24","N","N","","село",""
"240500000100","Березовка","RU","0000002401","24","N","N","","пос.",""
"520200000600","Березовка","RU","0000005201","52","N","N","","село",""
"590300000100","Березовка","RU","0000005913","59","N","N","","село",""
"860300000100","Березово","RU","0000008622","86","N","N","","пос.",""
"660000300000","Березовский","RU","0000006600","66","N","N","","гор.",""
"230000100600","Березовый","RU","0000002300","23","N","N","","пос.",""
"743900000700","Берлин","RU","0000007413","74","N","N","","пос.",""
"501400001300","Беседы","RU","0000007700","50","N","N","","село",""
"502100001500","Беседы","RU","0000007700","50","N","N","","дер.",""
"150800100000","Беслан","RU","0000001501","15","N","N","","гор.",""
"580600000100","Бессоновка","RU","0000005801","58","N","N","","село",""
"312200000500","Бессоновка","RU","0000003101","31","N","N","","село",""
"230000300500","Бетта","RU","0000002315","23","N","N","","Хутор",""
"190400000100","Бея","RU","0000001901","19","N","N","","село",""
"021200000100","Бижбуляк","RU","0000000215","02","N","N","","село",""
"220000400000","Бийск","RU","0000002211","22","Y","Y","","гор.","1"
"660001600200","Билимбай","RU","0000006613","66","N","N","","пос.",""
"790000100000","Биробиджан","RU","0000002701","79","N","N","","гор.",""
"021300100000","Бирск","RU","0000000222","02","Y","N","","гор.","1"
"311200100000","Бирюч","RU","0000003101","31","N","N","","гор.",""
"661700000700","Бисерть","RU","0000006613","66","N","N","","пос.",""
"00000000100K","Бишкек","KG","000000KG01","00","Y","Y","","гор.","1"
"021500100000","Благовещенск","RU","0000000221","02","Y","N","","гор.","1"
"230300100200","Благовещенская","RU","0000002311","23","N","N","","стан.",""
"260600100000","Благодарный","RU","0000002600","26","N","N","","гор.",""
"522700000800","Ближнее Борисово","RU","0000005201","52","N","N","","село",""
"312200000800","Ближняя Игуменка","RU","0000003101","31","N","N","","село",""
"360300100000","Бобров","RU","0000003601","36","N","N","","гор.",""
"660200001199","Бобровский","RU","0000006600","66","N","N","","пос.",""
"662500000900","Бобровский","RU","0000006600","66","N","N","","пос.",""
"861000000500","Бобровский","RU","0000008601","86","N","N","","пос.",""
"B60000300000","Бобруйск","BY","000000BY01","06","N","N","","гор.",""
"720100000300","Богандинский","RU","0000007201","72","N","N","","пос.",""
"630400000100","Богатое","RU","0000006301","63","N","N","","село",""
"701700002100","Богашево","RU","0000007001","70","N","N","","село",""
"660800100000","Богданович","RU","0000006645","66","Y","N","","гор.","1"
"600900011200","Богданово","RU","0000006001","60","N","N","","дер.",""
"441400000100","Боговарово","RU","0000004301","44","N","N","","село",""
"331600000200","Боголюбово","RU","0000003301","33","N","N","","пос.",""
"710500100000","Богородицк","RU","0000007101","71","N","N","","гор.",""
"520500100000","Богородск","RU","0000005201","52","N","N","","гор.",""
"504000001300","Богослово","RU","0000007700","50","N","N","","дер.",""
"240001300000","Боготол","RU","0000002401","24","N","N","","гор.",""
"190500000100","Боград","RU","0000001901","19","N","N","","село",""
"240800000100","Богучаны","RU","0000002401","24","N","N","","село",""
"360400100000","Богучар","RU","0000003601","36","N","N","","гор.",""
"470200100000","Бокситогорск","RU","0000007833","47","N","N","","гор.",""
"540400100000","Болотное","RU","0000005400","54","N","N","","гор.",""
"711400200000","Болохово","RU","0000007101","71","N","N","","гор.",""
"501900000600","Болтино","RU","0000007700","50","N","N","","дер.",""
"570200100000","Болхов","RU","0000005701","57","N","N","","гор.",""
"660001400400","Большая Выя","RU","0000006624","66","N","N","","пос.",""
"131600001700","Большая Елховка","RU","0000001301","13","N","N","","село",""
"522700000900","Большая Ельня","RU","0000005201","52","N","N","","село",""
"320600000400","Большая Жукова","RU","0000003201","32","N","N","","село",""
"741700004000","Большая Запань","RU","0000007412","74","N","N","","пос.",""
"471200000300","Большая Ижора","RU","0000007824","47","N","N","","пос.",""
"240900000100","Большая Мурта","RU","0000002401","24","N","N","","пос.",""
"380100000200","Большая Речка","RU","0000003801","38","N","N","","пос.",""
"630600000100","Большая Черниговка","RU","0000006301","63","N","N","","село",""
"164000003100","Большая Шильна","RU","0000001610","16","N","N","","село",""
"660700001000","Большебрусянское","RU","0000006600","66","N","N","","село",""
"860600000400","Большетархово","RU","0000008611","86","N","N","","село",""
"312000001700","Большетроицкое","RU","0000003101","31","N","N","","село",""
"130500000100","Большие Березники","RU","0000001301","13","N","N","","село",""
"502200002100","Большие Вяземы","RU","0000007700","50","N","N","","пос.",""
"502500000700","Большие Дворы","RU","0000007700","50","N","N","","пос.",""
"730100005100","Большие Ключищи","RU","0000007301","73","N","N","","село",""
"550400000100","Большие Уки","RU","0000005501","55","N","N","","село",""
"163100001200","Большое Афанасово","RU","0000001610","16","N","N","","село",""
"130600000100","Большое Игнатово","RU","0000001301","13","N","N","","село",""
"520400000400","Большое Козино","RU","0000005201","52","N","N","","пос.",""
"522700001000","Большое Мокрое","RU","0000005201","52","N","N","","село",""
"732000000100","Большое Нагаткино","RU","0000007301","73","N","N","","село",""
"450900000400","Большое Раково","RU","0000004501","45","N","N","","село",""
"592000015300","Большое Савино","RU","0000005901","59","N","N","","дер.",""
"662500001000","Большое Седельниково","RU","0000006600","66","N","N","","дер.",""
"760200000100","Большое Село","RU","0000007601","76","N","N","","село",""
"460300000100","Большое Солдатское","RU","0000004601","46","N","N","","село",""
"502600001700","Большое Толбино","RU","0000007700","50","N","N","","дер.",""
"450900000500","Большое Чаусово","RU","0000004501","45","N","N","","село",""
"590001200500","Большой Букор","RU","0000005914","59","N","N","","село",""
"662500001100","Большой Исток","RU","0000006600","66","N","N","","пос.",""
"250000700000","Большой Камень","RU","0000002501","25","N","N","","гор.",""
"582000000900","Большой Колояр","RU","0000005801","58","N","N","","село",""
"241000000100","Большой Улуй","RU","0000002401","24","N","N","","село",""
"911500000900","Бондаренково","RU","0000009207","91","N","N","","",""
"520000500000","Бор","RU","0000005201","52","N","N","","гор.",""
"750500100000","Борзя","RU","0000007510","75","N","N","","гор.",""
"B50000300000","Борисов","BY","000000BY01","05","N","N","","гор.",""
"310300000100","Борисовка","RU","0000003101","31","N","N","","пос.",""
"360500100000","Борисоглебск","RU","0000003601","36","N","N","","гор.",""
"760300000100","Борисоглебский","RU","0000007601","76","N","N","","пос.",""
"622500001000","Борки","RU","0000006201","62","N","N","","село",""
"720100001000","Борки","RU","0000007201","72","N","N","","село",""
"540100000900","Боровое","RU","0000005400","54","N","N","","село",""
"720100001200","Боровский","RU","0000007201","72","N","N","","пос.",""
"240000200000","Бородино","RU","0000002415","24","N","N","","гор.",""
"502000003751","Ботаково","RU","0000007700","50","N","N","","дер.",""
"B20000300000","Браслав","BY","000000BY01","02","N","N","","гор.",""
"320200000700","Брасово","RU","0000003201","32","N","N","","село",""
"502700001000","Братовщина","RU","0000007700","50","N","N","","село",""
"380000500000","Братск","RU","0000003810","38","Y","N","","гор.","1"
"742700000100","Бреды","RU","0000007410","74","N","N","","пос.",""
"B10000100000","Брест","BY","000000BY10","01","Y","Y","","гор.","1"
"503300001800","Брехово","RU","0000007700","50","N","N","","дер.",""
"502800001800","Бритово","RU","0000007700","50","N","N","","дер.",""
"500000200000","Бронницы","RU","0000007700","50","N","N","","гор.",""
"660700001200","Бруснятское","RU","0000006600","66","N","N","","село",""
"230700000100","Брюховецкая","RU","0000002300","23","N","N","","стан.",""
"320000100000","Брянск","RU","0000003201","32","Y","Y","X","гор.","1"
"601900000500","Бубново","RU","0000006001","60","N","N","","дер.",""
"522100001200","Бугры","RU","0000005201","52","N","N","","дер.",""
"592600001200","Бугры","RU","0000005914","59","N","N","","дер.",""
"161400100000","Бугульма","RU","0000000212","16","N","N","","гор.",""
"560000500000","Бугуруслан","RU","0000005611","56","N","N","","гор.",""
"260700100000","Буденновск","RU","0000002610","26","N","N","","гор.",""
"021600000100","Буздяк","RU","0000000212","02","N","N","","село",""
"560000600000","Бузулук","RU","0000005611","56","Y","Y","","гор.","1"
"161500100000","Буинск","RU","0000001601","16","N","N","","гор.",""
"440300100000","Буй","RU","0000004401","44","N","N","","гор.",""
"050001000000","Буйнакск","RU","0000000501","05","N","N","","гор.",""
"660300000900","Буланаш","RU","0000006647","66","N","N","","пос.",""
"501400002000","Булатниково","RU","0000007700","50","N","N","","село",""
"661400000900","Булдакова","RU","0000006600","66","N","N","","дер.",""
"021700000100","Бураево","RU","0000000211","02","N","N","","село",""
"520300000800","Буревестник","RU","0000005201","52","N","N","","пос.",""
"520500001300","Буревестник","RU","0000005201","52","N","N","","пос.",""
"360600100000","Бутурлиновка","RU","0000003601","36","N","N","","гор.",""
"640600000300","Быков Отрог","RU","0000006401","64","N","N","","село",""
"500300025800","Быково","RU","0000007700","50","N","N","","дер.",""
"340300000100","Быково","RU","0000003401","34","N","N","","пос.",""
"502800002200","Быково","RU","0000007700","50","N","N","","село",""
"320600000600","Бытошь","RU","0000003201","32","N","N","","пос.",""
